stackoverflow_id,Reputation,Answer,Question
1214800,70650,797,210
212555,53632,698,93
3153,342528,1335,149
2766176,130710,1931,136
2688,153737,731,22
1413538,63773,410,12
1622493,76692,2180,5
340760,98880,844,351
790387,171839,3477,6
471795,71773,411,18
64313,114838,244,62
50776,74062,1377,23
501250,162757,2624,10
718618,79389,616,0
1902010,178222,3540,49
16148,59658,503,28
3055,61234,347,73
527185,82064,1392,9
902497,44676,605,0
654031,235293,5180,51
52201,46027,1057,35
200936,54926,2130,30
895245,362040,1783,161
220147,66599,892,4
13,220962,2121,10
5445,816296,2159,0
361151,42629,1118,13
73681,70375,511,16
97337,291399,5608,28
1440565,82665,3726,257
449856,54604,640,29
756809,52289,3742,69
445517,107464,1603,10
807126,306692,9588,13
15031,122513,1194,11
249933,69430,1458,76
422597,92299,707,0
115145,994871,22987,125
4604579,212479,4961,5
17172,160104,462,3
203130,78734,1180,21
330057,81905,1309,101
113938,51544,667,4
398670,314671,3191,82
7714,126229,2175,13
84651,243881,3642,12
203420,59859,628,30
783681,74628,751,84
2224265,58483,1806,5
214671,125197,1840,24
57191,80794,1680,71
542270,83266,1269,80
201952,141658,795,33
54249,76313,514,11
420303,49912,1580,32
572644,172627,2880,167
104349,593310,12824,8
238814,59627,791,5
784338,53301,562,27
458193,266498,649,153
105570,127083,1050,267
3670737,17955,260,1
6819,140556,1394,24
77,76985,404,3
335858,719934,15970,32
784387,97314,1056,4
524368,160363,4169,34
1338292,172131,3910,17
115730,242740,1910,25
28128,85545,1703,37
505088,606494,12785,84
328193,213215,6915,86
608157,56505,715,2
1259109,57223,768,2
781707,67000,1056,7
7231,68612,2170,4
406429,56451,1895,2
330644,80424,818,110
1687119,213569,5863,15
80425,58054,417,15
53013,296048,2006,83
1647604,59240,1175,29
476,515527,8793,83
5037551,61558,1566,11
740,133191,1451,1
13627,162730,1329,123
263525,377111,5549,79
90801,91218,1302,109
258523,79241,1951,6
192702,54154,823,41
358679,69809,1430,4
1517578,64064,1174,10
246461,62995,712,31
4918,58793,437,39
857807,67574,804,53
1903116,236577,2983,21
949476,192641,4468,0
2051952,49785,1155,0
1114486,71881,523,0
82294,208914,1967,22
40347,174147,1427,20
3820,71240,356,32
1548376,52231,1254,1
272109,70055,1510,0
424300,123769,997,1
791604,148252,2536,28
3191,111424,573,110
20972,98683,701,66
301832,135238,4115,4
83805,137624,1098,4
264697,169085,2743,62
152083,65795,611,5
477878,178608,3233,1
8047,69096,429,380
661853,93903,430,36
24874,305466,1181,311
221955,72024,860,73
712603,77871,948,12
236465,67367,2283,0
149341,0,0,0
222908,340481,1548,0
405143,93012,612,8
5171,54095,355,21
345717,77330,839,48
26396,57972,546,9
697630,77655,709,32
143305,364625,4043,5
892256,59673,2565,91
1875256,62163,2214,71
1438733,67159,552,14
8206,267829,1651,73
1694,189274,259,90
56541,129694,1204,36
388520,137636,1785,143
2372064,201318,4811,10
3617886,110388,1693,37
60,60133,583,4
246776,84614,310,589
14104,206187,6826,3
20713,201339,1635,5
10585,86541,283,12
210719,51844,237,1
141172,148914,3096,376
126229,56689,1291,2
88656,653310,3745,0
102441,96508,1781,299
109374,60078,610,0
184883,108686,758,237
62130,73442,366,20
729881,76400,831,4
449449,209697,1184,8
13430,88903,537,90
80911,96012,2283,115
1030675,235445,5557,5
842,45883,509,10
1098851,121949,2048,8
218196,805648,7093,8
93623,156949,1656,9
266795,144422,1611,27
90308,75488,368,15
1831,124784,1918,17
759019,46495,681,49
17028,75400,1085,4
395857,80012,492,399
180286,79632,1390,40
833073,48553,1321,6
2016562,341155,3527,17
846273,107461,1066,33
378024,49605,559,0
2504224,61647,875,15
5577765,207277,7598,18
1445366,65745,1211,67
893,968958,5389,55
213474,57537,484,14
2341938,47962,874,0
7552,242626,7799,18
87234,498604,1398,18
91914,105776,679,7
511529,115208,3413,20
1333873,144919,355,415
164998,72263,1377,92
16587,57543,571,37
208809,314423,2696,14
216063,69490,418,16
1240763,170632,7187,8
123109,136778,992,32
128511,103185,1977,242
610573,50276,619,15
69083,692988,10600,3
366377,77789,2063,0
217408,639691,9321,93
16632,102898,579,12
1625737,48664,1008,8
19563,770669,1979,0
741747,145155,3148,16
215752,70039,3281,6
341750,70400,2874,60
1457051,77993,1748,2
244353,75652,973,52
223386,149822,1762,242
68015,62854,899,12
1256624,98271,533,6
1374437,73439,1297,0
885318,114610,903,28
1676363,195489,2574,8
1109,132121,781,34
1530814,44326,3036,47
1066031,84477,1177,63
712649,165460,4490,9
1966109,91106,338,13
198633,111721,1937,114
147024,94545,1257,3
1420197,110919,698,399
233196,64969,755,16
338665,164055,1071,12
308315,46594,484,50
2204410,82161,1160,37
1305344,73614,1430,87
1237,50608,748,20
155423,408769,3205,100
151292,351152,2714,14
790695,165083,1815,34
7326738,70686,3847,46
383609,100443,647,146
185527,53572,459,32
641955,122821,2448,37
23283,742092,6405,5
950427,54787,298,15
76559,58370,820,81
11649,61335,678,4
83667,51082,382,3
571407,684578,13970,8
6760,62366,368,2
3043,406723,8067,102
3737,56850,534,3
103295,59595,1311,23
23234,61811,557,41
66686,79443,2423,207
42139,91395,3152,28
135589,204517,2005,27
5651,74825,395,65
1155209,154580,2473,1
816620,694682,13844,50
70386,100545,1880,346
2908,75552,294,69
8427,73415,945,0
2598,137834,706,48
1338,87734,3055,39
34509,500807,2560,221
204699,56971,647,1
46058,315219,407,57
1950,113368,195,133
98401,74335,212,19
38896,62187,222,8
55925,53203,326,32
2847,83103,805,25
174728,298781,3660,8
114029,101012,1150,91
1786,77724,627,33
295508,49717,914,23
54680,266539,2754,72
5,52597,274,45
318758,109723,2761,4
851273,142970,5075,4
3001761,118388,2526,4
22656,1453243,35692,55
825568,217269,1976,25
271616,174955,1773,7
86473,44984,1003,0
82865,62836,346,44
440558,404105,11902,43
174777,253978,7660,0
119527,134723,1843,80
23649,117184,1234,71
624900,65936,642,40
724626,81572,1094,9
113141,85501,1146,215
779513,66559,1209,130
11702,44796,693,21
2988,366366,3982,2
75170,306860,1065,71
70393,341203,2516,21
176769,92661,1569,55
934239,75911,1864,4
321697,134101,1224,40
224671,516731,3801,13
5380,176972,1634,109
187697,69084,1318,43
4085910,71424,895,69
905,152246,800,188
296328,94895,2368,74
114066,188198,611,197
189950,76740,799,20
1012097,52768,792,13
392044,89863,797,306
218589,118884,1345,44
1968,536948,4692,107
7586,136659,1452,24
38206,115293,1279,18
1749403,219441,6699,208
58186,121069,2085,30
27009,98813,887,80
399317,71327,823,61
23691,76255,530,100
1366033,34304,880,195
101361,151421,3464,10
1172002,108206,2122,11
147356,292669,4508,103
267,385234,2892,301
372,94728,438,13
722121,87483,855,6
90848,139943,831,80
670206,64895,1641,12
42973,92774,524,95
427545,65317,611,37
983912,56916,987,37
15541,116077,2027,45
11182,61612,2140,3
582,183961,1487,7
1841839,111430,4965,184
1288,401268,2054,68
785065,158644,1492,3
2611971,52622,389,67
3730754,242111,5352,5
14065,260399,2817,93
6521,298216,1291,19
2303865,232874,2477,2
1761687,59093,997,25
3764814,50672,937,4
673730,255907,3950,123
521799,215400,3440,256
1327739,53747,1355,13
615,202047,799,25
182676,53206,611,17
14419,65280,1788,5
30618,57091,849,3
1079354,105158,2700,18
8279,78834,718,33
561731,145559,2573,100
526535,295051,2121,17
9990,183074,2480,29
23354,1041984,16795,50
358970,53063,496,2
89806,135805,587,48
2796058,22705,615,8
324584,210953,4084,33
243782,206130,1648,461
254643,52136,929,2
96656,146915,468,25
82788,55081,721,14
1426065,101772,1843,14
403310,59212,341,17
2214,102011,270,4
1836,61257,741,22
457406,90021,1255,23
444991,74820,1084,5
15537,129669,483,111
21239,99234,1588,37
2545680,102953,769,891
402253,61892,1010,0
63074,54834,1051,46
1114338,47717,1219,24
42346,166021,1375,0
421705,54140,908,0
6548745,6083,284,5
232593,58574,946,59
249341,86071,412,159
524555,71483,606,48
479512,54162,1177,0
29,106842,423,66
223092,455383,721,23
418413,75505,991,122
63034,65783,532,10
13531,190371,578,8
109825,54218,994,11
904393,66377,1046,2
123671,115763,356,548
707111,220957,4293,39
192247,91435,517,172
13279,62599,1511,48
853360,64151,2516,11
98607,105576,1273,28
1163867,124766,2748,24
65387,276811,1210,1526
315168,83147,1602,468
3125566,77832,1883,0
1195080,67286,1718,214
295783,173112,8305,101
13913,138675,625,214
1755,65738,2175,38
309308,171920,536,25
3574081,125848,1070,3
1542290,155559,1781,30
91,178950,685,335
2422776,302238,10199,0
20394,119189,1583,65
53114,648829,4545,13
550966,82345,627,80
922184,467835,845,2
10673,46659,995,8
113195,81924,595,86
17,54597,540,27
256793,57606,766,150
6680611,57874,750,2
14343,369389,2766,43
74118,113179,623,138
12030,100889,2285,19
13249,626435,6167,9
385378,101222,599,25
397861,76580,1601,178
1057429,53570,2235,11
1755598,133694,1941,4
164234,53477,426,6
1204143,173645,2315,56
59541,92878,571,7
229602,72048,1020,33
106224,710748,4636,25
335418,65815,370,16
1583,493912,7501,35
22459,69305,784,67
342852,295282,2607,84
1175,81948,534,96
116862,135212,1505,11
421018,76794,1452,335
205608,106088,5212,45
157882,1094370,17131,15
167958,55012,727,102
20654,197267,1715,287
312586,52165,465,122
16853,133743,712,150
67606,178870,2093,61
61989,64720,331,20
21677,110568,514,29
2435473,135536,3535,21
379693,128145,1374,90
138475,397812,3002,3
993547,155261,3559,5
20578,97735,900,124
1292848,99531,2792,9
253056,210613,3603,33
359307,88328,926,3
187606,445692,6938,257
8454,91998,1071,12
248432,80244,2144,13
57695,529064,13476,37
92315,140067,198,7
35070,282570,2082,60
93966,84190,983,361
28376,72016,2895,7
113570,170016,834,36
8815,105586,1042,30
508666,72006,1012,188
405017,299378,2128,304
20670,332245,4343,20
514749,153286,1440,163
79061,50013,459,5
134204,125201,2951,0
1418796,117332,448,1
220819,162174,1348,23
4984832,73548,2041,22
126014,229194,2720,79
84889,122594,1360,1
216074,377738,3513,82
1009603,123482,2146,5
462627,166050,5519,58
571189,63058,481,0
750987,65745,298,0
1084774,59021,1440,248
70604,565919,4681,2
209103,581963,17558,26
6010,80016,192,11
7671,69633,473,24
30674,85594,280,883
343955,62009,796,37
1074592,85321,848,31
69545,137684,1985,1
1333975,71081,699,41
1237040,51415,1363,0
6782,336939,3968,46
419970,167930,1469,120
11635,60639,783,67
856199,51134,913,21
65358,558528,7407,18
8394265,266205,1035,51
160378,54898,339,6
602276,177901,1144,38
67,143085,1123,37
67392,107697,2617,6
3603,83994,1098,96
379897,211639,3383,177
21886,276249,1547,35
134830,119726,1034,112
852828,118849,2131,21
3804019,51651,502,13
557445,75509,1226,63
50122,45930,678,13
33732,162282,2071,19
46642,230759,1215,77
77567,380339,4438,2
297762,73254,744,18
893780,200507,3050,1
75642,104434,1029,314
1271826,424650,6904,35
29995,119278,463,31
8446,90238,713,310
298575,98211,689,0
112671,67567,552,186
322912,70027,1226,73
519413,334440,10412,44
91299,135577,1616,43
831878,87118,1241,91
1188513,70446,1789,73
105929,290733,4632,63
1258041,64719,854,30
104184,129034,196,32
15245,107356,1432,43
295264,78173,2002,184
138304,98737,1534,56
139459,381054,4321,189
105999,44043,370,7
99834,165288,577,837
34397,876766,15102,51
14660,157510,3730,103
6144,62976,895,32
2998,51970,1160,21
21926,119685,845,4
353802,77450,1618,21
64174,66420,1444,13
1704166,214342,903,22
82609,90890,433,334
85371,383361,9290,17
421223,129931,1195,8
150634,109510,1650,38
1003917,68326,2075,0
1671639,55913,1326,74
1108891,136898,863,424
1533054,74544,300,71
833622,45832,570,23
376535,56906,1029,96
285587,157633,6289,37
1331451,53897,1282,58
1267329,120546,1242,2
425275,183989,1261,190
16940,142690,1344,432
1478381,59295,776,36
154112,62872,816,16
100754,117554,2153,33
64949,63186,279,73
2088135,73484,1878,21
21234,400888,3248,50
49376,69799,586,103
94559,59555,1752,0
902968,62318,268,2
403671,134817,1974,0
784588,80097,737,5
8123,64891,615,68
447156,97957,2419,112
49485,141205,442,48
46914,89950,1116,164
9021,540929,1699,330
14357,118749,2446,182
2483313,103513,3065,9
6461,103279,405,67
220643,43473,1155,1
2530848,72733,1525,7
399037,55013,600,18
157957,93038,2191,6
59501,114656,1443,26
45773,64258,504,0
1388319,64553,813,0
263268,119625,686,295
9345,60759,757,17
208339,59872,238,11
2915,92641,528,103
43846,71767,1107,11
1441122,129830,535,0
250259,218257,4440,19
598696,91618,1116,307
39321,154897,293,520
1723893,56984,809,43
179125,104141,1646,1
496161,64607,1072,12
2756719,135435,1780,16
11343,88017,659,25
2173917,133760,3708,10
1873365,200332,2310,73
287047,66337,700,111
165009,49629,459,12
299509,63238,199,1
219743,83635,859,19
45786,62333,372,21
980833,160723,1260,21
479989,91637,709,21
171456,356762,3540,26
120292,44629,254,17
172999,57027,1177,30
8331,54435,330,43
23528,188890,3942,212
298479,314378,3555,95
107049,99731,248,7
98713,289279,3460,134
286871,67805,520,14
60518,63204,270,63
104200,59765,604,42
6509,169091,2797,0
157247,1052527,22700,95
605744,337198,2950,13
1301972,82798,1589,27
5056,119412,375,723
33518,241937,3307,0
18747,131080,1999,8
1450,114328,771,96
96100,321063,1945,3
493122,75536,1405,227
334519,138857,1374,73
18180,116096,877,31
299924,121285,2714,43
436641,68166,1064,46
82219,92077,195,10
12950,528120,5311,41
140719,221793,1505,72
500104,130489,1090,85
573032,50640,2801,14
39375,75716,515,12
1000343,109670,1053,454
5344058,37662,770,2
1331430,69739,663,30
1578604,71040,1928,11
28169,395339,6099,8
951890,63878,1073,0
492405,140049,1268,25
1375553,58625,1609,5
5190,334785,1195,44
722783,79061,1805,15
6309,1337535,31172,16
27439,102679,1358,19
139985,707789,15595,22
41761,49073,749,75
75500,103175,611,614
123527,174901,2059,25
60096,87219,696,78
95190,59334,801,23
71522,151440,704,376
63756,116327,1354,26
110707,88581,658,1
145346,85413,1795,58
171206,50647,1019,111
3333,180685,1183,142
383710,52493,819,22
252228,163309,7482,23
447356,66490,1990,7
127320,79390,1323,329
187141,1,638,675
21574,65056,584,93
17624,131504,338,0
5485167,209937,1858,0
1870803,148081,2520,17
12725,102445,1804,20
783743,73480,809,177
641766,53133,478,1
17469,56822,405,55
251311,252165,3357,276
1238019,68402,720,43
2413303,80581,2061,55
1499781,47291,876,5
100297,1080646,19919,3
4465208,87662,737,13
497418,176977,1756,59
2396539,67707,1121,144
1083957,61458,769,37
889949,88267,1455,12
745,167509,537,111
2976878,79563,630,20
247533,167351,1604,20
15354,56117,1396,23
21441,76032,584,40
139010,357095,3727,103
20481,48603,748,6
75525,245556,3030,98
727208,58241,878,0
3676586,12446,244,0
18771,334971,5219,55
592746,60017,863,2
497043,88379,778,21
958464,11374,254,290
