twitter_id,stackoverflow_id,location,question_count,answer_count,reputation,top_tags_answers,top_tags_question,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence
@loufranco,3937,"['Sarasota, FL']",19,500,81233,"['swift', 'ios', 'objective-c', 'xcode', 'c++', 'uitableview', 'c', 'iphone', 'arrays', 'core-data']","['ios', 'objective-c', 'swift', 'storyboard', 'xib', 'iphone', 'javascript', 'swiftui', 'scenekit', 'command-line']",0.906011979,0.412524934,0.166901669,0.025387785,0.216581176,0.023674093,0.467719209,0.119083914,0.401336417,0.238195071
@micke314,569436,"['Uppsala, Sweden']",3,500,124536,"['sql-server', 'sql', 'xml', 'tsql', 'sql-server-2008', 'sql-server-2012', 'xquery', 'sql-server-2008-r2', 'stored-procedures', 'xquery-sql']","['delphi', 'sql-server', 'sql-server-2008', 'merge', 'user-interface', 'delphi-xe', 'vcl', 'c#', 'c++', 'monitoring']",0.866666366,0.20275576,0.241201422,0.012423684,0.333722592,0.019768333,0.294350062,0.190919239,0.298017155,0.141391243
@oscar_lopez,201359,"['Madrid, Spain']",19,500,204470,"['python', 'scheme', 'racket', 'list', 'java', 'lisp', 'python-3.x', 'string', 'sicp', 'functional-programming']","['java', 'jakarta-ee', 'regex', 'oracle', 'oid', 'ejb', 'shell', 'seam', 'collatz', 'mysql']",0.728215565,0.417443328,0.310451543,0.049950356,0.684054596,0.128394768,0.145892747,0.403740327,0.085690245,0.088981923
@peahenamonglox,45375,"['Massachusetts, USA']",14,500,201081,"['powershell', 'windows', 'arrays', 'json', 'cmd', 'batch-file', 'bash', 'c#', 'regex', 'csv']","['powershell', 'regex', '.net', 'datetime', '.net-core', 'datetimeoffset', 'macos', 'text-to-speech', 'macos-catalina', 'siri']",0.953108782,0.125518958,0.328120626,0.054810383,0.638763509,0.00695698,0.19399839,0.071504012,0.175937377,0.177098008
@RoutSiddharth,1140579,['Mumbai'],14,500,129759,"['vba', 'excel', 'excel-formula', 'outlook', 'userform', 'powerpoint', 'ms-word', 'arrays', 'loops', 'listbox']","['excel', 'vba', 'macos', 'applescript', 'vb.net', 'vsto', 'addin-express', 'android', 'android-studio', 'userform']",0.654301422,0.603104823,0.056929568,0.024484187,0.304385253,0.14453156,0.084231976,0.067984469,0.14884722,0.166723999
@r_keith_hill,153982,"['Fort Collins, CO']",51,500,164431,"['powershell', 'c#', 'powershell-2.0', 'windows', 'powershell-3.0', 'xml', 'batch-file', '.net', 'tfs', 'arrays']","['wpf', 'asp.net-mvc', 'tfs', 'asp.net', 'asp.net-core', 'c#', 'tfs-2015', '.net', 'visual-studio-code', 'task-parallel-library']",0.83623348,0.463201339,0.027805187,0.00676596,0.456381028,0.095605777,0.246178306,0.111507642,0.277277336,0.139566224
@samsaffron,17174,"['Sydney, Australia']",205,500,116338,"['c#', '.net', 'ruby-on-rails', 'ruby', 'dapper', 'sql', 'sql-server', 'mvc-mini-profiler', 'tsql', 'performance']","['c#', '.net', 'ruby', 'ruby-on-rails', 'javascript', 'css', 'sql-server', 'activerecord', 'visual-studio', 'performance']",0.872175674,0.152406038,0.116153848,0.008162965,0.482848011,0.008666142,0.401107936,0.145421643,0.369050438,0.169644505
@scottenderle,577088,"['Philadelphia, PA']",3,500,113298,"['python', 'numpy', 'list', 'arrays', 'dictionary', 'algorithm', 'scipy', 'python-3.x', 'performance', 'class']","['python', 'django', 'postgresql', 'algorithm', 'primes', 'numpy', 'machine-learning', 'shuffle']",0.991006282,0.22400481,0.15218856,0.055775054,0.365119618,0.002748692,0.457343461,0.082677978,0.327128083,0.212355576
@shafikyaghmour,1708801,"['Cupertino, CA']",24,500,138219,"['c++', 'c++11', 'language-lawyer', 'c', 'gcc', 'c++14', 'constexpr', 'undefined-behavior', 'clang', 'c++17']","['c++', 'language-lawyer', 'c++11', 'c++14', 'undefined-behavior', 'gcc', 'constexpr', 'constant-expression', 'c++03', 'cmath']",0.956737554,0.360674003,0.120429061,0.055310051,0.138726878,0.023755451,0.499276668,0.159462965,0.398018173,0.195719948
@shog9,811,[''],3,484,139863,"['javascript', 'jquery', 'c++', 'html', 'css', 'c#', 'winapi', '.net', 'ajax', 'dom']","['javascript', 'language-features', 'with-statement', 'c++', 'windows', 'multithreading', 'winapi', 'message-queue', 'crash', 'statistics']",0.969204082,0.113048912,0.141419352,0.016013339,0.355974367,0.00586241,0.643324951,0.192680946,0.449929636,0.230226094
@tarynpivots,426671,['Probably at a box'],57,500,213514,"['sql', 'sql-server', 'pivot', 'tsql', 'sql-server-2008', 'mysql', 'unpivot', 'sql-server-2008-r2', 'sql-server-2005', 'sql-server-2012']","['c#', 'winforms', 'sql-server', 'ms-access', 'sql', 'datagridview', 'sql-server-2005', 'combobox', 'date', 'triggers']",0.733824442,0.277062371,0.086460352,0.116734729,0.443780019,0.093251001,0.264758803,0.242662634,0.25107367,0.364697304
@ucfagls,429846,['Denmark'],12,500,150328,"['r', 'gam', 'vegan', 'mgcv', 'plot', 'ggplot2', 'dataframe', 'matrix', 'regression', 'function']","['r', 'ggplot2', 'grob', 'ruby', 'yaml', 'jekyll', 'liquid', 'data-manipulation', 'data-processing', 'plot']",0.918899394,0.425124299,0.151750099,0.056372146,0.293625613,0.029937882,0.541831281,0.115328746,0.511106504,0.230460901
@whattheheadsaid,94197,[''],44,500,295964,"['javascript', 'jquery', 'html', 'css', 'dom', 'regex', 'internet-explorer', 'php', 'arrays', 'json']","['javascript', '.net', 'c#', 'c++', 'windows-desktop-gadgets', 'internet-explorer', 'html', 'regex', 'css', 'webbrowser-control']",0.916376926,0.382340601,0.06559954,0.013013331,0.336000778,0.029513915,0.151059829,0.063504758,0.209845022,0.147967741
AakashMehendale,71059,['London'],22,500,57099,"['c#', 'sql-server', 'linq', '.net', 'resharper', 'sql', 'tsql', 'asp.net', 'math', 'xml']","['c#', 'asp.net', 'sql-server', 'visual-studio-2010', 'tfs', '.net', 'azure-sql-database', 'azure', 'entity-framework', 'entity-framework-4']",0.921872567,0.207382433,0.187551324,0.061827945,0.411274542,0.018783244,0.302912704,0.151738356,0.215212796,0.12469131
AaronBertrand,61305,"['North Carolina, USA']",2,500,231253,"['sql-server', 'sql', 'sql-server-2008', 'tsql', 'sql-server-2012', 'sql-server-2005', 'sql-server-2008-r2', 'database', 'stored-procedures', 'datetime']","['wordpress', 'syntax-highlighting', 'geshi', 'sql-server', 'sql-server-2008']",0.891822434,0.130765192,0.193116389,0.051916884,0.380360546,0.015793895,0.270862081,0.200724632,0.281547365,0.17814397
aaronchall,541136,"['Manhattan, NY']",30,500,250236,"['python', 'list', 'string', 'dictionary', 'python-3.x', 'python-2.7', 'oop', 'exception', 'pandas', 'exception-handling']","['python', 'set', 'dictionary', 'string', 'abc', 'boolean', 'exception', 'list', 'types', 'memory']",0.961853642,0.619167871,0.378870323,0.109266734,0.134200014,0.03240645,0.337773777,0.168677151,0.224732853,0.143432422
AbhikCh,1039843,[''],9,500,42044,"['mysql', 'sql', 'php', 'database', 'triggers', 'join', 'date', 'select', 'datetime', 'mysqli']","['node.js', 'php', 'javascript', 'arrays', 'python', 'algorithm', 'hash', 'laravel', 'eloquent', 'relationships']",0.72015597,0.633726061,0.017323669,0.004331328,0.468243086,0.147442805,0.288664262,0.085048782,0.135565062,0.199568404
abizern,41116,"['London, UK']",23,500,120697,"['ios', 'swift', 'objective-c', 'git', 'xcode', 'iphone', 'uitableview', 'core-data', 'cocoa', 'arrays']","['cocoa', 'objective-c', 'xcode', 'tdd', 'git', 'grand-central-dispatch', 'wordpress', 'themes', 'animation', 'python']",0.748440561,0.256207803,0.131206283,0.06039871,0.533888033,0.106243788,0.536845336,0.216310249,0.534904795,0.289709423
aboywithstories,1090079,[''],11,500,55219,"['c++', 'c++11', 'php', 'c', 'language-lawyer', 'templates', 'javascript', 'python', 'mysql', 'arrays']","['c++', 'language-lawyer', 'c++11', 'c++14', 'c++-faq', 'python', 'python-2.7', 'python-3.x', 'templates', 'reference']",0.316559528,0.015781042,0.239464868,0.028476925,0.932426483,0.130090425,0.829241664,0.910614864,0.778238457,0.489351003
AcharkiZ,4281779,['Tanger Médina'],14,500,61279,"['javascript', 'jquery', 'html', 'php', 'laravel', 'css', 'ajax', 'arrays', 'json', 'eloquent']","['php', 'laravel', 'laravel-5.1', 'javascript', 'laravel-5', 'jquery', 'proxy', 'facebook', 'selenium', 'curl']",0.882063934,0.659759419,0.144990367,0.285391458,0.17675478,0.481445613,0.516046224,0.034171554,0.021743259,0.507831488
ad7six,761202,"['Valencia, Spain']",1,500,53017,"['cakephp', 'php', 'git', 'cakephp-2.0', 'cakephp-3.0', 'mysql', 'javascript', '.htaccess', 'cakephp-2.1', 'cakephp-2.3']","['git', 'githooks']",0.869760881,0.366737157,0.142168573,0.017605088,0.249334205,0.015483009,0.35010332,0.140990994,0.287218342,0.185487978
AdamBellaire,21632,[''],24,357,94525,"['perl', 'jquery', 'javascript', 'mysql', 'sql', 'regex', 'php', 'html', 'css', 'database']","['perl', 'project-management', 'css', 'performance', 'moose', 'design-by-contract', 'java', 'database', 'mysql', 'cgi']",0.821951158,0.382203523,0.034149823,0.063762728,0.56359977,0.072152174,0.277664235,0.179524605,0.080215884,0.524442773
adamhiker,9530,"['Cambridge, MA']",28,500,342741,"['c', 'c++', 'python', 'linux', 'objective-c', 'windows', 'sockets', 'string', 'pointers', 'gcc']","['c', 'c++', 'debugging', 'objective-c', 'emacs', 'visual-studio', 'winapi', 'bash', 'iphone', 'elisp']",0.811813783,0.404015599,0.078263966,0.005702911,0.253538659,0.025108638,0.200056673,0.144191796,0.211314924,0.127998559
adamquek99,6203226,['Singapore'],1,283,5439,"['r', 'ggplot2', 'dataframe', 'dplyr', 'plot', 'for-loop', 'loops', 'regression', 'tidyverse', 'statistics']",['r'],0.848559856,0.718596659,0.102649483,0.195559951,0.210315097,0.296725309,0.4871105,0.175054163,0.2578303,0.393906322
adamrackis,352552,"['Edmond, OK']",301,500,77143,"['javascript', 'jquery', 'html', 'c#', 'knockout.js', 'arrays', 'asp.net', 'ajax', 'json', 'css']","['javascript', 'c#', 'silverlight', 'jquery', 'knockout.js', 'wpf', 'html', 'entity-framework-4', 'silverlight-4.0', 'node.js']",0.838977684,0.030391678,0.264555516,0.052858158,0.397471149,0.0107693,0.595428148,0.305221134,0.562963214,0.343359668
adam_matan,51197,['Israel'],493,271,96052,"['python', 'sql', 'java', 'algorithm', 'postgresql', 'regex', 'database', 'bash', 'multithreading', 'html']","['python', 'java', 'postgresql', 'android', 'sql', 'node.js', 'json', 'macos', 'regex', 'eclipse']",0.589760951,0.363184233,0.043933957,0.085132623,0.249218649,0.5592281,0.561328082,0.466250277,0.678606719,0.32962527
adatapost,142822,"['Mahesana City , Gujarat -India']",1,500,88012,"['c#', 'java', 'asp.net', 'jsp', 'vb.net', 'xml', 'android', '.net', 'sql', 'mysql']","['c++', 'namespaces', 'std', 'aliasing']",0.937332841,0.592260373,0.064836042,0.004246376,0.327355944,0.030612961,0.366591127,0.043668401,0.061529355,0.271035729
adathedev,135531,"['Hampshire, UK']",13,500,121149,"['sql-server', 'sql', 'sql-server-2008', 'tsql', 'sql-server-2005', 'c#', 'mongodb', 'stored-procedures', '.net', 'database']","['c#', '.net', 'sql-server-2005', 'sql', 'sql-server', 'indexing', 'performance', 'generics', '.net-4.0', 'ordereddictionary']",0.68932621,0.228307411,0.118710565,0.016136751,0.412909197,0.042248412,0.235779736,0.138938981,0.25329576,0.203917912
adrianbanks,116923,"['Cambridge, UK']",30,500,74136,"['c#', '.net', 'visual-studio', 'winforms', 'sql-server', 'asp.net', 'visual-studio-2010', 'sql', 'visual-studio-2008', 'vb.net']","['c#', '.net', 'visual-studio', 'sql', 'sql-server', 'exception', 'active-directory', 'security', 'winforms', 'dependency-injection']",0.706649696,0.335472815,0.036956057,0.029943483,0.255840265,0.062970871,0.18479253,0.095948289,0.268955407,0.111208554
adymitruk,1864976,"['ÜT: 49.209711,-123.147183']",5,500,102075,"['git', 'version-control', 'github', 'branch', 'git-submodules', 'windows', 'merge', 'php', 'rebase', 'git-merge']","['bash', 'ssl', 'nginx', 'ssh', 'certbot', 'vim', 'msysgit', 'vim-syntax-highlighting', 'model-view-controller', 'fubumvc']",0.904960469,0.547889927,0.123440079,0.008573618,0.308983919,0.029718178,0.456957333,0.094105535,0.304857937,0.215346379
aectann,272824,['Sydney'],6,308,65594,"['android', 'java', 'layout', 'eclipse', 'android-activity', 'button', 'listview', 'textview', 'image', 'android-layout']","['android', 'android-app-indexing', 'google-app-indexing', 'google-analytics', 'google-play-services', 'eclipse', 'svn', 'tagging', 'subversive', 'youtube']",0.321984404,0.245249994,0.004541947,0.019653942,0.725566155,0.665476015,0.433292735,0.393655002,0.710278044,0.316845976
ag_study,1838509,['Paris'],67,500,109651,"['r', 'ggplot2', 'dataframe', 'plot', 'data.table', 'regex', 'matrix', 'loops', 'time-series', 'for-loop']","['r', 'python', 'data.table', 'ggplot2', 'regex', 'web-scraping', 'scrapy', 'date', 'couchbase', 'javascript']",0.66738769,0.600663627,0.203615605,0.093846796,0.286492145,0.153874816,0.10271317,0.110875264,0.185606483,0.07549599
aiiane,148870,"['San Francisco, CA']",2,500,413703,"['python', 'git', 'php', 'python-3.x', 'regex', 'list', 'python-2.7', 'google-app-engine', 'dictionary', 'mysql']","['lua', 'lua-table', 'mysql', 'database', 'testing', 'fixtures']",0.955722644,0.315857706,0.18598369,0.052140401,0.252900058,0.023945846,0.57455759,0.218677886,0.445137287,0.264412265
ajaysaini_sgvu,1741671,"['Gurgaon, India']",31,452,44105,"['android', 'java', 'android-intent', 'eclipse', 'android-activity', 'android-studio', 'string', 'android-asynctask', 'php', 'nullpointerexception']","['android', 'android-imageview', 'android-camera', 'android-intent', 'android-camera-intent', 'facebook-android-sdk', 'android-gallery', 'android-constraintlayout', 'android-studio', 'shortcut']",0.70109335,0.491482722,0.074067139,0.017768212,0.298011806,0.095681959,0.425789206,0.113384782,0.319775537,0.22372632
ajtsok,216021,[''],146,500,54370,"['java', 'jpa', 'hibernate', 'jakarta-ee', 'eclipse', 'android', 'maven', 'jboss', 'spring', 'jsf']","['java', 'scala', 'jakarta-ee', 'eclipse', 'jsf', 'maven', 'xml', 'jpa', 'jboss', 'jsf-2']",0.69001298,0.083979013,0.196787007,0.251561766,0.99999275,0.062478488,0.540835729,0.732509813,0.396458726,0.391962017
akarnokd,61158,"['Budapest, Hungary']",47,500,61012,"['rx-java2', 'rx-java', 'android', 'java', 'reactive-programming', 'kotlin', 'rx-android', 'observable', 'multithreading', 'reactivex']","['java', 'concurrency', 'multithreading', 'swing', 'scala', 'c#', 'actor', 'fork-join', 'generics', 'javascript']",0.912787272,0.14030283,0.031167538,0.000529039,0.625313308,0.010889123,0.470120698,0.096501437,0.507947267,0.17640734
akx,51685,"['Turku, Finland']",2,500,70656,"['python', 'javascript', 'django', 'python-3.x', 'reactjs', 'html', 'node.js', 'pandas', 'flask', 'c#']","['c', 'c#', 'python', 'class-method']",0.825896207,0.011876608,0.100041951,0.010635773,0.411555449,0.040473166,0.754791537,0.486400795,0.767258036,0.233127494
alanhaggai,66353,['Republic of Perl'],4,500,64743,"['perl', 'git', 'php', 'regex', 'html', 'css', 'linux', 'jquery', 'c', 'javascript']","['perl', 'dbi', 'mediawiki', 'crc', 'crc32', 'long-lines']",0.580780137,0.02452407,0.039570282,0.065734159,0.758173484,0.102203336,0.110371995,0.112598478,0.194837056,0.077806986
alanstorm,4668,['Portland'],408,500,153857,"['magento', 'php', 'laravel', 'magento-1.7', 'laravel-4', 'mysql', 'laravel-5', 'javascript', 'xml', 'composer-php']","['php', 'javascript', 'magento', 'laravel', 'node.js', 'symfony', 'oop', 'composer-php', 'jquery', 'go']",0.952812411,0.214736318,0.265394377,0.003901679,0.284655013,0.003759825,0.413278549,0.08220679,0.306112234,0.17418843
aleaxit,95810,"['Sunnyvale, CA']",6,500,713331,"['python', 'google-app-engine', 'google-cloud-datastore', 'python-3.x', 'java', 'dictionary', 'python-2.7', 'list', 'google-cloud-storage', 'app-engine-ndb']","['python', 'google-app-engine', 'midi', 'mysql', 'sql-execution-plan', 'unit-testing', 'jvm', 'boo', 'c', 'openmp']",0.95689105,0.128307394,0.020747161,0.013520482,0.404848786,0.005055039,0.413942386,0.064523099,0.209842271,0.157010432
alexdickson,31671,"['London, England']",490,500,414762,"['javascript', 'jquery', 'html', 'php', 'css', 'arrays', 'regex', 'git', 'string', 'c']","['php', 'javascript', 'jquery', 'css', 'kohana', 'mysql', 'html', 'kohana-3', 'c', 'xhtml']",0.699062658,0.223605412,0.121207553,0.049773763,0.328618623,0.073572323,0.432238956,0.191173752,0.322705582,0.233839374
alexey_r,9204,['Moscow'],441,500,145077,"['kotlin', 'scala', 'android', 'java', 'generics', 'functional-programming', 'reflection', 'apache-spark', 'haskell', 'types']","['scala', 'java', 'erlang', 'osgi', 'eclipse-rcp', 'jpa', 'sbt', 'c#', 'eclipse', 'swt']",0.969420584,0.630440876,0.137378434,0.089069491,0.146453199,0.080330522,0.408692692,0.143836069,0.275807707,0.218661963
alexholmoak,106979,"['Madrid, Spain']",105,466,63493,"['python', 'java', 'c', 'c++', 'math', 'algorithm', 'c#', 'list', 'performance', 'javascript']","['python', 'java', 'node.js', 'c', 'scala', 'javascript', 'amazon-web-services', 'generics', 'tornado', 'npm']",0.740415092,0.058350971,0.279832367,0.001144684,0.579855883,0.013448906,0.448043628,0.509503705,0.581159507,0.144046276
alexjlockwood,844882,"['Lexington, MA']",19,500,79898,"['android', 'java', 'android-fragments', 'android-activity', 'sqlite', 'android-loadermanager', 'android-asynctask', 'android-5.0-lollipop', 'multithreading', 'debugging']","['android', 'shared-element-transition', 'activity-transition', 'android-5.0-lollipop', 'angular', 'typescript', 'java', 'sqlite', 'android-contentprovider', 'c']",0.916155872,0.103809334,0.040201779,0.009942023,0.327506138,0.011240071,0.518036317,0.150790584,0.367911069,0.278346771
Alex__Mamo,5246885,"['Constanta, Romania']",69,500,77172,"['firebase', 'android', 'google-cloud-firestore', 'java', 'firebase-realtime-database', 'kotlin', 'firebase-authentication', 'android-recyclerview', 'flutter', 'firebase-storage']","['android', 'java', 'firebase', 'loops', 'onclicklistener', 'firebase-realtime-database', 'for-loop', 'android-activity', 'listview', 'listadapter']",0.735467383,0.639536418,0.367033415,0.306011091,0.073109407,0.412554151,0.310938363,0.102371473,0.442051588,0.226852768
AliAkhtar_,49153,"['Islamabad, Pakistan ']",500,230,220630,"['php', 'javascript', 'jquery', 'java', 'mysql', 'ajax', 'html', 'scala', 'forms', 'facebook']","['java', 'javascript', 'php', 'jquery', 'mysql', 'scala', 'css', 'angularjs', 'gwt', 'struts2']",0.818924236,0.221960003,0.158490786,0.050235824,0.416857336,0.040981304,0.584151417,0.202552999,0.506845065,0.355789685
aliostad,440502,['UK'],27,500,75145,"['c#', 'asp.net-web-api', '.net', 'asp.net', 'asp.net-mvc', 'wcf', 'asp.net-mvc-4', 'rest', 'asp.net-mvc-3', 'javascript']","['c#', '.net', 'wcf', 'asp.net', 'shell', 'apache-spark', 'android', 'javascript', 'keras', 'asp.net-mvc']",0.973814361,0.499337675,0.164804365,0.048278432,0.323776833,0.021070765,0.328387238,0.091433556,0.204171302,0.069198801
allain,2443,"['Ottawa, ON']",186,294,82982,"['php', 'java', 'javascript', 'jquery', 'html', 'sql', 'c#', 'css', 'mysql', 'database']","['java', 'swing', 'php', 'javascript', 'sql-server', 'junit', 'sql', 'http', 'netbeans', 'unit-testing']",0.935324268,0.194061052,0.133651272,0.009147013,0.27803639,0.005553538,0.562730764,0.137900484,0.296430063,0.271763863
alvations,610569,[''],500,500,83651,"['python', 'nltk', 'nlp', 'python-3.x', 'stanford-nlp', 'wordnet', 'pos-tagger', 'pandas', 'tokenize', 'python-2.7']","['python', 'regex', 'string', 'list', 'nlp', 'numpy', 'bash', 'pandas', 'dictionary', 'unicode']",0.925956962,0.063062077,0.098218027,0.006264743,0.526108397,0.005596988,0.55519883,0.102151768,0.543474412,0.19112074
amageed,59111,['San Francisco Bay Area'],3,500,84236,"['c#', 'regex', 'linq', '.net', 'vb.net', 'xml', 'linq-to-xml', 'javascript', 'asp.net', 'string']","['.net', 'c#', 'entity-framework', 'ef-code-first', 'entity-framework-6', 'regex', 'performance', '.net-4.5', 'winforms', 'event-handling']",0.872305324,0.506621279,0.205465547,0.062729851,0.24129705,0.058206047,0.297348098,0.106544645,0.202523341,0.207758752
amalmurali47,1438393,['India'],2,500,67493,"['php', 'regex', 'arrays', 'string', 'html', 'preg-match', 'javascript', 'mysql', 'preg-replace', 'python']","['mysql', 'reserved-words', 'javascript', 'google-chrome', 'google-chrome-extension']",0.597505142,0.399226335,0.050528804,0.035907068,0.279004378,0.131146727,0.295548001,0.191745592,0.345710231,0.327149629
amitjoki,3001736,[''],39,500,51446,"['javascript', 'jquery', 'regex', 'arrays', 'html', 'ruby', 'php', 'css', 'string', 'c#']","['javascript', 'jquery', 'ruby-on-rails', 'html', 'regex', 'c#', 'ruby-on-rails-4', 'css', 'flutter', 'ruby-on-rails-4.2']",0.749139873,0.634651527,0.03439233,0.411307135,0.548649447,0.572775475,0.541162753,0.201503106,0.489771014,0.346585714
amrgh0sh,165297,"['Bengaluru, Karnataka']",13,500,53332,"['apache-flex', 'regex', 'actionscript-3', 'flash', 'javascript', 'php', 'c', 'actionscript', 'c#', 'java']","['c', 'regex', 'android', 'gstreamer', 'actionscript', 'dpi', 'screen-density', 'pixel-density', 'android-fragments', 'android-activity']",0.717627862,0.099609651,0.09275839,7.96E-05,0.218133567,0.00039924,0.385211031,0.243310354,0.304456485,0.351397013
