twitter_id,stackoverflow_id,question_count,answer_count,reputation,answer_tag,question_tag,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,preferred_tags1,preferred_tags2,preferred_tags3,micro-oop,oop,web-pro,database,mobile,statistic,other
@JoelKatz,721269,17,500,156532,"['c++', 'c', 'multithreading', 'pointers', 'sockets', 'tcp', 'pthreads', 'linux', 'mutex', 'arrays']","['c++', 'boost', 'boost-asio', 'multithreading', 'stl', 'linux', 'sqlite', 'map', 'language-lawyer', 'undefined-behavior']",0.92478293,0.089528253,0.138598054,0.011522692,0.161807065,c++,java,os,0,1,0,0,0,0,1
@JorisMeys,428790,44,500,93823,"['r', 'dataframe', 'function', 'shiny', 'matrix', 'ggplot2', 'plot', 'loops', 'package', 's4']","['r', 's4', 'package', 'function', 'matrix', 'r-faq', 'shiny', 'generics', 'coding-style', 'optimization']",0.502466371,0.231200454,0.321756728,0.253409526,0.897157368,r,c++,0,0,1,0,0,0,1,0
@joshua_ulrich,271616,7,500,155575,"['r', 'xts', 'quantmod', 'time-series', 'zoo', 'quantstrat', 'dataframe', 'date', 'csv', 'posixct']","['r', 'function', 'r-faq', 'equation', 'roxygen2', 'r-forge', 'arguments', 'html', 'r-rook-package', 'parallel-processing']",0.923366842,0.150006081,0.125103677,0.030985273,0.290946756,r,r,r,0,0,0,0,0,1,0
@jreback,644898,1,500,97756,"['pandas', 'python', 'numpy', 'hdf5', 'dataframe', 'pytables', 'datetime', 'python-2.7', 'hdfstore', 'multi-index']","['python', 'dask']",0.8787684,0.649009111,0.022765417,0.044978232,0.308162695,python,python,python,0,1,0,0,0,0,0
@loufranco,3937,19,500,81233,"['swift', 'ios', 'objective-c', 'xcode', 'c++', 'uitableview', 'c', 'iphone', 'arrays', 'core-data']","['ios', 'objective-c', 'swift', 'storyboard', 'xib', 'iphone', 'javascript', 'swiftui', 'scenekit', 'command-line']",0.906011979,0.412524934,0.166901669,0.025387785,0.216581176,swift,ios,objective-c,0,0,0,0,1,0,0
@micke314,569436,3,500,124536,"['sql-server', 'sql', 'xml', 'tsql', 'sql-server-2008', 'sql-server-2012', 'xquery', 'sql-server-2008-r2', 'stored-procedures', 'xquery-sql']","['delphi', 'sql-server', 'sql-server-2008', 'merge', 'user-interface', 'delphi-xe', 'vcl', 'c#', 'c++', 'monitoring']",0.866666366,0.20275576,0.241201422,0.012423684,0.333722592,sql-server,sql,sql,0,0,0,1,0,0,0
@oscar_lopez,201359,19,500,204470,"['python', 'scheme', 'racket', 'list', 'java', 'lisp', 'python-3.x', 'string', 'sicp', 'functional-programming']","['java', 'jakarta-ee', 'regex', 'oracle', 'oid', 'ejb', 'shell', 'seam', 'collatz', 'mysql']",0.728215565,0.417443328,0.310451543,0.049950356,0.684054596,java,python,python,0,1,0,0,0,0,0
@peahenamonglox,45375,14,500,201081,"['powershell', 'windows', 'arrays', 'json', 'cmd', 'batch-file', 'bash', 'c#', 'regex', 'csv']","['powershell', 'regex', '.net', 'datetime', '.net-core', 'datetimeoffset', 'macos', 'text-to-speech', 'macos-catalina', 'siri']",0.953108782,0.125518958,0.328120626,0.054810383,0.638763509,os,.net,os,1,0,0,0,0,0,1
@RoutSiddharth,1140579,14,500,129759,"['vba', 'excel', 'excel-formula', 'outlook', 'userform', 'powerpoint', 'ms-word', 'arrays', 'loops', 'listbox']","['excel', 'vba', 'macos', 'applescript', 'vb.net', 'vsto', 'addin-express', 'android', 'android-studio', 'userform']",0.654301422,0.603104823,0.056929568,0.024484187,0.304385253,vb.net,python,0,1,1,0,0,0,0,0
@r_keith_hill,153982,51,500,164431,"['powershell', 'c#', 'powershell-2.0', 'windows', 'powershell-3.0', 'xml', 'batch-file', '.net', 'tfs', 'arrays']","['wpf', 'asp.net-mvc', 'tfs', 'asp.net', 'asp.net-core', 'c#', 'tfs-2015', '.net', 'visual-studio-code', 'task-parallel-library']",0.83623348,0.463201339,0.027805187,0.00676596,0.456381028,c#,.net,0,1,0,0,0,0,0,0
@samsaffron,17174,205,500,116338,"['c#', '.net', 'ruby-on-rails', 'ruby', 'dapper', 'sql', 'sql-server', 'mvc-mini-profiler', 'tsql', 'performance']","['c#', '.net', 'ruby', 'ruby-on-rails', 'javascript', 'css', 'sql-server', 'activerecord', 'visual-studio', 'performance']",0.872175674,0.152406038,0.116153848,0.008162965,0.482848011,c#,.net,ruby,1,0,1,0,0,0,0
@scottenderle,577088,3,500,113298,"['python', 'numpy', 'list', 'arrays', 'dictionary', 'algorithm', 'scipy', 'python-3.x', 'performance', 'class']","['python', 'django', 'postgresql', 'algorithm', 'primes', 'numpy', 'machine-learning', 'shuffle']",0.991006282,0.22400481,0.15218856,0.055775054,0.365119618,python,python,c++,0,1,0,0,0,0,0
@shafikyaghmour,1708801,24,500,138219,"['c++', 'c++11', 'language-lawyer', 'c', 'gcc', 'c++14', 'constexpr', 'undefined-behavior', 'clang', 'c++17']","['c++', 'language-lawyer', 'c++11', 'c++14', 'undefined-behavior', 'gcc', 'constexpr', 'constant-expression', 'c++03', 'cmath']",0.956737554,0.360674003,0.120429061,0.055310051,0.138726878,c++,c++,c,0,1,0,0,0,0,0
@shog9,811,3,484,139863,"['javascript', 'jquery', 'c++', 'html', 'css', 'c#', 'winapi', '.net', 'ajax', 'dom']","['javascript', 'language-features', 'with-statement', 'c++', 'windows', 'multithreading', 'winapi', 'message-queue', 'crash', 'statistics']",0.969204082,0.113048912,0.141419352,0.016013339,0.355974367,javascript,c++,os,0,1,1,0,0,0,1
@tarynpivots,426671,57,500,213514,"['sql', 'sql-server', 'pivot', 'tsql', 'sql-server-2008', 'mysql', 'unpivot', 'sql-server-2008-r2', 'sql-server-2005', 'sql-server-2012']","['c#', 'winforms', 'sql-server', 'ms-access', 'sql', 'datagridview', 'sql-server-2005', 'combobox', 'date', 'triggers']",0.733824442,0.277062371,0.086460352,0.116734729,0.443780019,sql,sql-server,sql,0,0,0,1,0,0,0
@ucfagls,429846,12,500,150328,"['r', 'gam', 'vegan', 'mgcv', 'plot', 'ggplot2', 'dataframe', 'matrix', 'regression', 'function']","['r', 'ggplot2', 'grob', 'ruby', 'yaml', 'jekyll', 'liquid', 'data-manipulation', 'data-processing', 'plot']",0.918899394,0.425124299,0.151750099,0.056372146,0.293625613,r,0,r,0,0,0,0,0,1,0
@whattheheadsaid,94197,44,500,295964,"['javascript', 'jquery', 'html', 'css', 'dom', 'regex', 'internet-explorer', 'php', 'arrays', 'json']","['javascript', '.net', 'c#', 'c++', 'windows-desktop-gadgets', 'internet-explorer', 'html', 'regex', 'css', 'webbrowser-control']",0.916376926,0.382340601,0.06559954,0.013013331,0.336000778,javascript,html,css,0,0,1,0,0,0,0
AakashMehendale,71059,22,500,57099,"['c#', 'sql-server', 'linq', '.net', 'resharper', 'sql', 'tsql', 'asp.net', 'math', 'xml']","['c#', 'asp.net', 'sql-server', 'visual-studio-2010', 'tfs', '.net', 'azure-sql-database', 'azure', 'entity-framework', 'entity-framework-4']",0.921872567,0.207382433,0.187551324,0.061827945,0.411274542,c#,sql-server,.net,1,0,0,1,0,0,0
AaronBertrand,61305,2,500,231253,"['sql-server', 'sql', 'sql-server-2008', 'tsql', 'sql-server-2012', 'sql-server-2005', 'sql-server-2008-r2', 'database', 'stored-procedures', 'datetime']","['wordpress', 'syntax-highlighting', 'geshi', 'sql-server', 'sql-server-2008']",0.891822434,0.130765192,0.193116389,0.051916884,0.380360546,sql-server,sql,sql,0,0,0,1,0,0,0
aaronchall,541136,30,500,250236,"['python', 'list', 'string', 'dictionary', 'python-3.x', 'python-2.7', 'oop', 'exception', 'pandas', 'exception-handling']","['python', 'set', 'dictionary', 'string', 'abc', 'boolean', 'exception', 'list', 'types', 'memory']",0.961853642,0.619167871,0.378870323,0.109266734,0.134200014,python,python,python,0,1,0,0,0,0,0
AbhikCh,1039843,9,500,42044,"['mysql', 'sql', 'php', 'database', 'triggers', 'join', 'date', 'select', 'datetime', 'mysqli']","['node.js', 'php', 'javascript', 'arrays', 'python', 'algorithm', 'hash', 'laravel', 'eloquent', 'relationships']",0.72015597,0.633726061,0.017323669,0.004331328,0.468243086,php,mysql,sql,0,0,1,1,0,0,0
abizern,41116,23,500,120697,"['ios', 'swift', 'objective-c', 'git', 'xcode', 'iphone', 'uitableview', 'core-data', 'cocoa', 'arrays']","['cocoa', 'objective-c', 'xcode', 'tdd', 'git', 'grand-central-dispatch', 'wordpress', 'themes', 'animation', 'python']",0.748440561,0.256207803,0.131206283,0.06039871,0.533888033,objective-c,git,ios,0,0,0,0,1,0,1
aboywithstories,1090079,11,500,55219,"['c++', 'c++11', 'php', 'c', 'language-lawyer', 'templates', 'javascript', 'python', 'mysql', 'arrays']","['c++', 'language-lawyer', 'c++11', 'c++14', 'c++-faq', 'python', 'python-2.7', 'python-3.x', 'templates', 'reference']",0.316559528,0.015781042,0.239464868,0.028476925,0.932426483,c++,c++,c,0,1,0,0,0,0,0
AcharkiZ,4281779,14,500,61279,"['javascript', 'jquery', 'html', 'php', 'laravel', 'css', 'ajax', 'arrays', 'json', 'eloquent']","['php', 'laravel', 'laravel-5.1', 'javascript', 'laravel-5', 'jquery', 'proxy', 'facebook', 'selenium', 'curl']",0.882063934,0.659759419,0.144990367,0.285391458,0.17675478,javascript,jquery,php,0,0,1,0,0,0,0
ad7six,761202,1,500,53017,"['cakephp', 'php', 'git', 'cakephp-2.0', 'cakephp-3.0', 'mysql', 'javascript', '.htaccess', 'cakephp-2.1', 'cakephp-2.3']","['git', 'githooks']",0.869760881,0.366737157,0.142168573,0.017605088,0.249334205,git,php,php,0,0,1,0,0,0,1
AdamBellaire,21632,24,357,94525,"['perl', 'jquery', 'javascript', 'mysql', 'sql', 'regex', 'php', 'html', 'css', 'database']","['perl', 'project-management', 'css', 'performance', 'moose', 'design-by-contract', 'java', 'database', 'mysql', 'cgi']",0.821951158,0.382203523,0.034149823,0.063762728,0.56359977,perl,mysql,css,0,0,1,1,0,0,0
adamhiker,9530,28,500,342741,"['c', 'c++', 'python', 'linux', 'objective-c', 'windows', 'sockets', 'string', 'pointers', 'gcc']","['c', 'c++', 'debugging', 'objective-c', 'emacs', 'visual-studio', 'winapi', 'bash', 'iphone', 'elisp']",0.811813783,0.404015599,0.078263966,0.005702911,0.253538659,c,c++,objective-c,0,1,0,0,1,0,0
adamquek99,6203226,1,283,5439,"['r', 'ggplot2', 'dataframe', 'dplyr', 'plot', 'for-loop', 'loops', 'regression', 'tidyverse', 'statistics']",['r'],0.848559856,0.718596659,0.102649483,0.195559951,0.210315097,r,r,python,0,1,0,0,0,1,0
adamrackis,352552,301,500,77143,"['javascript', 'jquery', 'html', 'c#', 'knockout.js', 'arrays', 'asp.net', 'ajax', 'json', 'css']","['javascript', 'c#', 'silverlight', 'jquery', 'knockout.js', 'wpf', 'html', 'entity-framework-4', 'silverlight-4.0', 'node.js']",0.838977684,0.030391678,0.264555516,0.052858158,0.397471149,javascript,jquery,html,0,0,1,0,0,0,0
adam_matan,51197,493,271,96052,"['python', 'sql', 'java', 'algorithm', 'postgresql', 'regex', 'database', 'bash', 'multithreading', 'html']","['python', 'java', 'postgresql', 'android', 'sql', 'node.js', 'json', 'macos', 'regex', 'eclipse']",0.589760951,0.363184233,0.043933957,0.085132623,0.249218649,python,sql,java,0,1,0,1,0,0,0
adatapost,142822,1,500,88012,"['c#', 'java', 'asp.net', 'jsp', 'vb.net', 'xml', 'android', '.net', 'sql', 'mysql']","['c++', 'namespaces', 'std', 'aliasing']",0.937332841,0.592260373,0.064836042,0.004246376,0.327355944,c#,java,asp.net,1,1,0,0,0,0,0
adathedev,135531,13,500,121149,"['sql-server', 'sql', 'sql-server-2008', 'tsql', 'sql-server-2005', 'c#', 'mongodb', 'stored-procedures', '.net', 'database']","['c#', '.net', 'sql-server-2005', 'sql', 'sql-server', 'indexing', 'performance', 'generics', '.net-4.0', 'ordereddictionary']",0.68932621,0.228307411,0.118710565,0.016136751,0.412909197,sql-server,sql,sql,0,0,0,1,0,0,0
adrianbanks,116923,30,500,74136,"['c#', '.net', 'visual-studio', 'winforms', 'sql-server', 'asp.net', 'visual-studio-2010', 'sql', 'visual-studio-2008', 'vb.net']","['c#', '.net', 'visual-studio', 'sql', 'sql-server', 'exception', 'active-directory', 'security', 'winforms', 'dependency-injection']",0.706649696,0.335472815,0.036956057,0.029943483,0.255840265,c#,.net,.net,1,0,0,0,0,0,0
adymitruk,1864976,5,500,102075,"['git', 'version-control', 'github', 'branch', 'git-submodules', 'windows', 'merge', 'php', 'rebase', 'git-merge']","['bash', 'ssl', 'nginx', 'ssh', 'certbot', 'vim', 'msysgit', 'vim-syntax-highlighting', 'model-view-controller', 'fubumvc']",0.904960469,0.547889927,0.123440079,0.008573618,0.308983919,git,git,github,0,0,0,0,0,0,1
aectann,272824,6,308,65594,"['android', 'java', 'layout', 'eclipse', 'android-activity', 'button', 'listview', 'textview', 'image', 'android-layout']","['android', 'android-app-indexing', 'google-app-indexing', 'google-analytics', 'google-play-services', 'eclipse', 'svn', 'tagging', 'subversive', 'youtube']",0.321984404,0.245249994,0.004541947,0.019653942,0.725566155,android,java,java,0,1,0,0,1,0,0
ag_study,1838509,67,500,109651,"['r', 'ggplot2', 'dataframe', 'plot', 'data.table', 'regex', 'matrix', 'loops', 'time-series', 'for-loop']","['r', 'python', 'data.table', 'ggplot2', 'regex', 'web-scraping', 'scrapy', 'date', 'couchbase', 'javascript']",0.66738769,0.600663627,0.203615605,0.093846796,0.286492145,r,r,sql,0,0,0,1,0,1,0
aiiane,148870,2,500,413703,"['python', 'git', 'php', 'python-3.x', 'regex', 'list', 'python-2.7', 'google-app-engine', 'dictionary', 'mysql']","['lua', 'lua-table', 'mysql', 'database', 'testing', 'fixtures']",0.955722644,0.315857706,0.18598369,0.052140401,0.252900058,mysql,python,git,0,1,0,1,0,0,1
ajaysaini_sgvu,1741671,31,452,44105,"['android', 'java', 'android-intent', 'eclipse', 'android-activity', 'android-studio', 'string', 'android-asynctask', 'php', 'nullpointerexception']","['android', 'android-imageview', 'android-camera', 'android-intent', 'android-camera-intent', 'facebook-android-sdk', 'android-gallery', 'android-constraintlayout', 'android-studio', 'shortcut']",0.70109335,0.491482722,0.074067139,0.017768212,0.298011806,android,0,android,0,0,0,0,1,0,0
ajtsok,216021,146,500,54370,"['java', 'jpa', 'hibernate', 'jakarta-ee', 'eclipse', 'android', 'maven', 'jboss', 'spring', 'jsf']","['java', 'scala', 'jakarta-ee', 'eclipse', 'jsf', 'maven', 'xml', 'jpa', 'jboss', 'jsf-2']",0.69001298,0.083979013,0.196787007,0.251561766,0.99999275,java,java,java,0,1,0,0,0,0,0
akarnokd,61158,47,500,61012,"['rx-java2', 'rx-java', 'android', 'java', 'reactive-programming', 'kotlin', 'rx-android', 'observable', 'multithreading', 'reactivex']","['java', 'concurrency', 'multithreading', 'swing', 'scala', 'c#', 'actor', 'fork-join', 'generics', 'javascript']",0.912787272,0.14030283,0.031167538,0.000529039,0.625313308,java,java,0,0,1,0,0,0,0,0
akx,51685,2,500,70656,"['python', 'javascript', 'django', 'python-3.x', 'reactjs', 'html', 'node.js', 'pandas', 'flask', 'c#']","['c', 'c#', 'python', 'class-method']",0.825896207,0.011876608,0.100041951,0.010635773,0.411555449,python,c#,javascript,1,1,1,0,0,0,0
alanhaggai,66353,4,500,64743,"['perl', 'git', 'php', 'regex', 'html', 'css', 'linux', 'jquery', 'c', 'javascript']","['perl', 'dbi', 'mediawiki', 'crc', 'crc32', 'long-lines']",0.580780137,0.02452407,0.039570282,0.065734159,0.758173484,perl,git,php,0,0,1,0,0,0,1
alanstorm,4668,408,500,153857,"['magento', 'php', 'laravel', 'magento-1.7', 'laravel-4', 'mysql', 'laravel-5', 'javascript', 'xml', 'composer-php']","['php', 'javascript', 'magento', 'laravel', 'node.js', 'symfony', 'oop', 'composer-php', 'jquery', 'go']",0.952812411,0.214736318,0.265394377,0.003901679,0.284655013,0,php,php,0,0,1,0,0,0,0
aleaxit,95810,6,500,713331,"['python', 'google-app-engine', 'google-cloud-datastore', 'python-3.x', 'java', 'dictionary', 'python-2.7', 'list', 'google-cloud-storage', 'app-engine-ndb']","['python', 'google-app-engine', 'midi', 'mysql', 'sql-execution-plan', 'unit-testing', 'jvm', 'boo', 'c', 'openmp']",0.95689105,0.128307394,0.020747161,0.013520482,0.404848786,python,os,0,0,1,0,0,0,0,1
alexdickson,31671,490,500,414762,"['javascript', 'jquery', 'html', 'php', 'css', 'arrays', 'regex', 'git', 'string', 'c']","['php', 'javascript', 'jquery', 'css', 'kohana', 'mysql', 'html', 'kohana-3', 'c', 'xhtml']",0.699062658,0.223605412,0.121207553,0.049773763,0.328618623,javascript,jquery,html,0,0,1,0,0,0,0
alexey_r,9204,441,500,145077,"['kotlin', 'scala', 'android', 'java', 'generics', 'functional-programming', 'reflection', 'apache-spark', 'haskell', 'types']","['scala', 'java', 'erlang', 'osgi', 'eclipse-rcp', 'jpa', 'sbt', 'c#', 'eclipse', 'swt']",0.969420584,0.630440876,0.137378434,0.089069491,0.146453199,scala,java,kotlin,0,1,0,0,1,1,0
alexholmoak,106979,105,466,63493,"['python', 'java', 'c', 'c++', 'math', 'algorithm', 'c#', 'list', 'performance', 'javascript']","['python', 'java', 'node.js', 'c', 'scala', 'javascript', 'amazon-web-services', 'generics', 'tornado', 'npm']",0.740415092,0.058350971,0.279832367,0.001144684,0.579855883,python,java,c,0,1,0,0,0,0,0
alexjlockwood,844882,19,500,79898,"['android', 'java', 'android-fragments', 'android-activity', 'sqlite', 'android-loadermanager', 'android-asynctask', 'android-5.0-lollipop', 'multithreading', 'debugging']","['android', 'shared-element-transition', 'activity-transition', 'android-5.0-lollipop', 'angular', 'typescript', 'java', 'sqlite', 'android-contentprovider', 'c']",0.916155872,0.103809334,0.040201779,0.009942023,0.327506138,android,java,sql,0,1,0,1,1,0,0
Alex__Mamo,5246885,69,500,77172,"['firebase', 'android', 'google-cloud-firestore', 'java', 'firebase-realtime-database', 'kotlin', 'firebase-authentication', 'android-recyclerview', 'flutter', 'firebase-storage']","['android', 'java', 'firebase', 'loops', 'onclicklistener', 'firebase-realtime-database', 'for-loop', 'android-activity', 'listview', 'listadapter']",0.735467383,0.639536418,0.367033415,0.306011091,0.073109407,host,android,java,0,1,0,0,1,0,1
AliAkhtar_,49153,500,230,220630,"['php', 'javascript', 'jquery', 'java', 'mysql', 'ajax', 'html', 'scala', 'forms', 'facebook']","['java', 'javascript', 'php', 'jquery', 'mysql', 'scala', 'css', 'angularjs', 'gwt', 'struts2']",0.818924236,0.221960003,0.158490786,0.050235824,0.416857336,php,javascript,jquery,0,0,1,0,0,0,0
aliostad,440502,27,500,75145,"['c#', 'asp.net-web-api', '.net', 'asp.net', 'asp.net-mvc', 'wcf', 'asp.net-mvc-4', 'rest', 'asp.net-mvc-3', 'javascript']","['c#', '.net', 'wcf', 'asp.net', 'shell', 'apache-spark', 'android', 'javascript', 'keras', 'asp.net-mvc']",0.973814361,0.499337675,0.164804365,0.048278432,0.323776833,c#,.net,asp.net,1,0,0,0,0,0,0
allain,2443,186,294,82982,"['php', 'java', 'javascript', 'jquery', 'html', 'sql', 'c#', 'css', 'mysql', 'database']","['java', 'swing', 'php', 'javascript', 'sql-server', 'junit', 'sql', 'http', 'netbeans', 'unit-testing']",0.935324268,0.194061052,0.133651272,0.009147013,0.27803639,php,java,javascript,0,1,1,0,0,0,0
alvations,610569,500,500,83651,"['python', 'nltk', 'nlp', 'python-3.x', 'stanford-nlp', 'wordnet', 'pos-tagger', 'pandas', 'tokenize', 'python-2.7']","['python', 'regex', 'string', 'list', 'nlp', 'numpy', 'bash', 'pandas', 'dictionary', 'unicode']",0.925956962,0.063062077,0.098218027,0.006264743,0.526108397,python,0,python,0,1,0,0,0,0,0
amageed,59111,3,500,84236,"['c#', 'regex', 'linq', '.net', 'vb.net', 'xml', 'linq-to-xml', 'javascript', 'asp.net', 'string']","['.net', 'c#', 'entity-framework', 'ef-code-first', 'entity-framework-6', 'regex', 'performance', '.net-4.5', 'winforms', 'event-handling']",0.872305324,0.506621279,0.205465547,0.062729851,0.24129705,c#,.net,.net,1,0,0,0,0,0,0
amalmurali47,1438393,2,500,67493,"['php', 'regex', 'arrays', 'string', 'html', 'preg-match', 'javascript', 'mysql', 'preg-replace', 'python']","['mysql', 'reserved-words', 'javascript', 'google-chrome', 'google-chrome-extension']",0.597505142,0.399226335,0.050528804,0.035907068,0.279004378,javascript,mysql,php,0,0,1,1,0,0,0
amitjoki,3001736,39,500,51446,"['javascript', 'jquery', 'regex', 'arrays', 'html', 'ruby', 'php', 'css', 'string', 'c#']","['javascript', 'jquery', 'ruby-on-rails', 'html', 'regex', 'c#', 'ruby-on-rails-4', 'css', 'flutter', 'ruby-on-rails-4.2']",0.749139873,0.634651527,0.03439233,0.411307135,0.548649447,javascript,jquery,.net,1,0,1,0,0,0,0
amrgh0sh,165297,13,500,53332,"['apache-flex', 'regex', 'actionscript-3', 'flash', 'javascript', 'php', 'c', 'actionscript', 'c#', 'java']","['c', 'regex', 'android', 'gstreamer', 'actionscript', 'dpi', 'screen-density', 'pixel-density', 'android-fragments', 'android-activity']",0.717627862,0.099609651,0.09275839,7.96e-05,0.218133567,.net,c,0,1,1,0,0,0,0,0
anacrolix,149482,364,500,92623,"['c', 'python', 'c++', 'linux', 'gcc', 'multithreading', 'go', 'performance', 'sockets', 'ubuntu']","['python', 'c', 'go', 'python-3.x', 'linux', 'gcc', 'c++', 'bash', 'haskell', 'posix']",0.906569524,0.296934687,0.165138671,0.002854985,0.217336814,c,python,c++,0,1,0,0,0,0,0
anaisbetts,5728,35,500,69534,"['c#', 'system.reactive', 'reactiveui', 'wpf', '.net', 'windows', 'electron', 'mvvm', 'git', 'reactive-programming']","['wpf', 'c#', 'wcf', 'android', 'windows', '.net', 'xaml', 'windows-runtime', 'silverlight', 'powershell']",0.9099611,0.067591375,0.076147543,0.00574021,0.368752305,c#,asp.net,.net,1,0,0,0,0,0,0
anders_abel,280222,38,500,61917,"['c#', 'saml-2.0', 'asp.net', 'sustainsys-saml2', 'saml', '.net', 'kentor-authservices', 'single-sign-on', 'asp.net-mvc', 'entity-framework']","['.net', 'c#', 'linq-to-sql', 'asp.net', 'tfs', 'visual-studio-2012', 'visual-studio-2010', 'asp.net-mvc-3', 'jquery-validate', 'scrum']",0.249584701,0.067409722,0.175373341,0.050266691,0.914537039,c#,asp.net,.net,1,0,0,0,0,0,0
andi_teufel,757508,2,500,65573,"['facebook', 'facebook-graph-api', 'javascript', 'facebook-javascript-sdk', 'php', 'facebook-php-sdk', 'facebook-login', 'reactjs', 'python', 'node.js']","['javascript', 'reactjs', 'material-ui', 'inheritance', 'instance', 'kineticjs']",0.522768279,0.301797419,0.046770415,0.011463684,0.979357292,javascript,reactjs,0,0,0,1,0,0,0,0
AndreiPangin,3448419,1,500,68839,"['java', 'jvm', 'performance', 'jvm-hotspot', 'garbage-collection', 'jit', 'java-native-interface', 'memory', 'multithreading', 'linux']","['java', 'performance', 'jvm']",0.889510152,0.186706873,0.06138958,0.003612807,0.414090467,java,java,python,0,1,0,0,0,0,0
AndyProwl,1932150,35,500,110132,"['c++', 'c++11', 'templates', 'stl', 'class', 'constructor', 'vector', 'pointers', 'inheritance', 'boost']","['c++', 'c++11', 'language-lawyer', 'move-semantics', 'templates', 'c++14', 'performance', 'shared-ptr', 'auto', 'compiler-bug']",0.87390705,0.708135165,0.154859381,0.225880265,0.396809571,c++,c++,html,0,1,1,0,0,0,0
